map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
557,Cinnyris cupreus,avibase-1F21FFE9,Cinnyris cupreus,Copper Sunbird,29933,10,8,2
585,Euplectes hordeaceus,avibase-7B414273,Euplectes hordeaceus,Black-winged Bishop,30431,14,12,2
15,Oceanodroma leucorhoa,avibase-C5FB15C6,Hydrobates leucorhous,Leach's Storm-Petrel,6892,1,0,1
50,Leptoptilos crumeniferus,avibase-03C0F97C,Leptoptilos crumenifer,Marabou Stork,7135,12,11,1
529,Hylia prasina,avibase-98BA31AA,Hylia prasina,Green Hylia,24624,3,2,1
1006,Tachymarptis aequatorialis,avibase-91429F78,Tachymarptis aequatorialis,Mottled Swift,4064,1,0,1
1007,Apus horus,avibase-FF79A533,Apus horus,Horus Swift,4126,1,0,1
331,Ispidina picta,avibase-C0998BB9,Ispidina picta,African Pygmy Kingfisher,9731,14,13,1
259,Chlidonias leucopterus,avibase-43CAAEE3,Chlidonias leucopterus,White-winged Tern,6667,12,11,1
497,Sylvia atricapilla,avibase-61F9065B,Sylvia atricapilla,Eurasian Blackcap,24843,13,12,1
1008,Grus grus,avibase-99B8841E,Grus grus,Common Crane,5686,1,0,1
12,Pelagodroma marina,avibase-E9DF118E,Pelagodroma marina,White-faced Storm-Petrel,6864,1,0,1
9,puffinus boydi,avibase-C817F455,Puffinus boydi,Boyd's Shearwater,7078,1,0,1
1024,Ceratogymna atrata,avibase-C05BF908,Ceratogymna atrata,Black-casqued Hornbill,9485,1,0,1
1051,Anthus pratensis,avibase-14873249,Anthus pratensis,Meadow Pipit,31332,1,0,1
7,Puffinus griseus,avibase-1725B07D,Ardenna grisea,Sooty Shearwater,7046,1,0,1
6,Puffinus gravis,avibase-8B879DFA,Ardenna gravis,Great Shearwater,7040,1,0,1
69,Anas crecca,avibase-BC6C3CCE,Anas crecca,Green-winged Teal,574,6,5,1
24,Fregata magnificens,avibase-8AA3B42E,Fregata magnificens,Magnificent Frigatebird,7147,1,0,1
10,Bulweria bulwerii,avibase-058773E4,Bulweria bulwerii,Bulwer's Petrel,7013,1,0,1
14,Oceanodroma castro,avibase-D3FAE385,Hydrobates castro,Band-rumped Storm-Petrel,6903,1,0,1
252,Sterna hirundo,avibase-4D2FF6F1,Sterna hirundo,Common Tern,6686,8,7,1
593,Passer luteus,avibase-4C373DA1,Passer luteus,Sudan Golden Sparrow,31099,20,19,1
1005,Caprimulgus tristigma,avibase-E3C780D6,Caprimulgus tristigma,Freckled Nightjar,3737,1,0,1
1015,Sula sula,avibase-0A4609D1,Sula sula,Red-footed Booby,7168,1,0,1
400,Ptyonoprogne fuligula,avibase-47DA0258,Ptyonoprogne fuligula,Rock Martin,23728,2,1,1
1018,Hieraaetus ayresii,avibase-7DF00403,Hieraaetus ayresii,Ayres's Hawk-Eagle,7863,1,0,1
114,Aquila spilogaster,avibase-9A418C45,Aquila spilogaster,African Hawk-Eagle,7890,17,16,1
295,Centropus grillii,avibase-DB09507D,Centropus grillii,Black Coucal,3129,6,5,1
1038,Petrochelidon preussi,avibase-AC11EBBB,Petrochelidon preussi,Preuss's Swallow,23851,1,0,1
92,Polyboroides typus,avibase-C505EA72,Polyboroides typus,African Harrier-Hawk,7662,23,22,1
450,Bleda canicapillus,avibase-D4B9EE90,Bleda canicapillus,Gray-headed Bristlebill,23905,4,3,1
618,Amandava subflava,avibase-ECC40D44,Amandava subflava,Zebra Waxbill,30834,8,7,1
1039,Chlorocichla simplex,avibase-D3D4D1B7,Chlorocichla simplex,Simple Greenbul,23924,1,0,1
3,Podiceps nigricollis,avibase-32DCEC14,Podiceps nigricollis,Eared Grebe,1852,2,1,1
103,Accipiter ovampensis,avibase-BAE91683,Accipiter ovampensis,Ovambo Sparrowhawk,8097,3,2,1
41,Ardea goliath,avibase-C7888A15,Ardea goliath,Goliath Heron,7541,12,11,1
59,Phoeniconaias minor,avibase-B06A9079,Phoeniconaias minor,Lesser Flamingo,1792,7,6,1
58,Phoenicopterus roseus,avibase-0F9B5174,Phoenicopterus roseus,Greater Flamingo,1789,11,10,1
36,Egretta brachyrhyncha,avibase-C3ABF863,Ardea brachyrhyncha,Yellow-billed Egret,7496,16,15,1
31,Ardeola ralloides,avibase-CE73EBD7,Ardeola ralloides,Squacco Heron,7479,21,20,1
514,Cisticola juncidis,avibase-AEE2063F,Cisticola juncidis,Zitting Cisticola,23115,17,16,1
573,Ploceus heuglini,avibase-D8E67602,Ploceus heuglini,Heuglin's Masked-Weaver,30321,7,6,1
507,Cisticola cantans,avibase-6B64558B,Cisticola cantans,Singing Cisticola,22949,14,13,1
1001,Melanitta nigra,avibase-24698199,Melanitta nigra,Common Scoter,695,1,0,1
247,Hydroprogne caspia,avibase-BC06BC0D,Hydroprogne caspia,Caspian Tern,6657,12,11,1
22,Microcarbo africanus,avibase-E255DCE1,Microcarbo africanus,Long-tailed Cormorant,7209,19,18,1
1022,Apaloderma narina,avibase-7FED5700,Apaloderma narina,Narina Trogon,9241,1,0,1
463,Thamnolaea cinnamomeiventris,avibase-F8B6EC31,Thamnolaea cinnamomeiventris,Mocking Cliff-Chat,29255,2,1,1
