TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-0DA8BB90,Turnix sylvaticus,113,263,6240
avibase-B605A049,Ortyxelos meiffrenii,133,264,6265
avibase-533DD36C,Columba livia,2587,265,1889
avibase-BBA263C2,Columba livia,438,265,1874
avibase-E8574CAB,Columba livia,2,265,1875
avibase-A6EA9F02,Columba guinea,10347,266,1897
avibase-5788552B,Streptopelia turtur,578,267,2035
avibase-9888B3AE,Streptopelia semitorquata,7428,268,2070
avibase-70BD722B,Streptopelia decipiens,8097,269,2063
avibase-DDEF7228,Streptopelia vinacea,9171,270,2078
avibase-0C1EFC9B,Streptopelia decaocto,11,271,2051
avibase-273A4A2F,Streptopelia roseogrisea,771,271,2056
avibase-B2D6AB06,Spilopelia senegalensis,15309,272,2091
avibase-DDC2CC92,Oena capensis,6674,273,2178
avibase-23D5FC36,Turtur afer,2087,275,2172
avibase-72B71F11,Turtur abyssinicus,6074,276,2171
avibase-00146574,Treron calvus,925,277,2553
avibase-5B603707,Treron calvus,85,277,2554
avibase-46C90944,Treron waalia,1622,278,2539
avibase-0EB10DB3,Poicephalus fuscicollis,233,279,12522
avibase-57C14523,Poicephalus fuscicollis,46,279,12523
avibase-D7F9C6B5,Poicephalus senegalus,7028,280,12546
avibase-6B1CFC3C,Psittacula krameri,7089,281,12111
avibase-0B36500B,Tauraco persa,889,282,2969
avibase-C1A52E70,Tauraco persa,84,282,2970
avibase-3893974C,Musophaga violacea,2286,283,3008
avibase-3C3092F9,Crinifer piscator,9730,284,3019
avibase-3D67C56A,Clamator glandarius,163,285,3197
avibase-BF0A0954,Clamator jacobinus,32,286,3199
avibase-3C8C3A31,Clamator levaillantii,771,287,3198
avibase-26A34DA5,Cuculus solitarius,25,288,3410
avibase-66931B3F,Cuculus gularis,160,290,3417
avibase-B3D2C3C5,Cuculus canorus,3,290,3421
avibase-1FACD210,Chrysococcyx klaas,850,291,3292
avibase-0482FA7E,Chrysococcyx caprius,618,292,3291
avibase-1B309CB5,Chrysococcyx cupreus,6,293,3295
avibase-E0D521B7,Ceuthmochares aereus,110,294,3157
avibase-DB09507D,Centropus grillii,94,295,3129
avibase-A0CB9C06,Centropus leucogaster,9,296,3094
avibase-4A83155B,Centropus senegalensis,8613,297,3098
avibase-9291885C,Tyto alba,350,298,8424
avibase-FEE35F4C,Tyto alba,702,298,8416
avibase-2C7AA154,Otus scops,7,299,8546
avibase-F0AA4FE4,Otus senegalensis,477,299,8557
avibase-7C2B3DB6,Otus senegalensis,136,299,8558
avibase-E561A180,Ptilopsis leucotis,815,300,8685
avibase-0018A99B,Bubo cinerascens,533,302,8724
avibase-EBD3129B,Ketupa lactea,816,303,8759
avibase-034B2A6A,Scotopelia peli,81,304,8789
avibase-70CB00EC,Glaucidium perlatum,1906,305,8800
avibase-2E6575A8,Strix woodfordii,231,306,9038
avibase-8F123A11,Asio flammeus,72,307,9068
avibase-83E21A84,Asio capensis,5,308,9082
avibase-6CC3D04B,Caprimulgus ruficollis,2,309,3644
avibase-80D4B0FE,Caprimulgus europaeus,5,310,3655
avibase-2F7F0244,Caprimulgus aegyptius,19,311,3667
avibase-589694DD,Caprimulgus eximius,175,312,3677
avibase-7C3959D6,Caprimulgus inornatus,6,315,3720
avibase-A20EA34D,Caprimulgus climacurus,1549,316,3749
avibase-D36F4D98,Caprimulgus longipennis,372,317,3643
avibase-FA1CAD29,Tachymarptis melba,26,319,4053
avibase-332BC664,Apus pallidus,447,320,4078
avibase-4E6EF3F9,Apus apus,557,321,4070
avibase-FA9F6019,Apus caffer,4,322,4129
avibase-6B552CE9,Apus affinis,809,323,4113
avibase-D209A90C,Apus affinis,3857,323,4112
avibase-DA106373,Cypsiurus parvus,8188,324,4154
avibase-8ACC245F,Telacanthura ussheri,1691,325,3846
avibase-E45D9EB2,Urocolius macrourus,2301,326,9220
avibase-F51C1C4A,Megaceryle maxima,2249,327,10009
avibase-8205077F,Ceryle rudis,9155,328,10023
avibase-A376DE65,Alcedo quadribrachys,61,329,9643
avibase-12EA0D5A,Corythornis cristatus,674,330,9715
avibase-7149F93D,Corythornis cristatus,2769,330,9714
avibase-C0998BB9,Ispidina picta,1172,331,9731
avibase-47E71671,Halcyon senegalensis,1533,332,9810
avibase-0D8BDD35,Halcyon malimbica,2922,333,9817
avibase-AB51824B,Halcyon chelicuti,1549,334,9827
avibase-178B6892,Halcyon leucocephala,1348,335,9802
avibase-66AA3934,Merops apiaster,1159,336,10106
avibase-6EE45113,Merops persicus,3731,337,10097
avibase-0AAA530E,Merops viridissimus,1362,338,10080
avibase-2125426A,Merops nubicus,528,339,10112
avibase-03C4A0C9,Merops albicollis,1018,340,10079
avibase-C0A68CA0,Merops pusillus,6220,341,10060
avibase-E6DC5DA1,Merops bulocki,1980,342,10054
avibase-910E6D86,Merops hirundineus,1678,343,10072
avibase-7451A628,Coracias garrulus,6,344,10116
avibase-E7C7EE3A,Coracias abyssinicus,8263,345,10119
avibase-2624054E,Coracias naevius,2012,346,10124
avibase-306C892E,Coracias cyanogaster,3212,347,10135
avibase-4F01F416,Eurystomus glaucurus,3368,348,10137
avibase-579DF94A,Eurystomus glaucurus,362,348,10138
avibase-66F40AD0,Upupa epops,421,349,9400
avibase-F4D0DB8E,Upupa epops,334,349,9395
avibase-FA2F9125,Upupa epops,1556,349,9394
